what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1232195772743
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232195777261
