what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231764925679
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765053315
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765057946
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765177711
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765183965
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.properties,1231765575514
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765575698
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765577687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765765565
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765774403
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.properties,1231765791834
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765792083
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765792303
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765841939
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildProject,1231765847394
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765849334
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765854388
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231765854637
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765855162
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765857329
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProgressView,1231765879234
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProgressView,1231765879530
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231765883270
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1231765892952
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231765897811
