what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232095169514
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232095171211
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232095172361
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232095175867
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232095179380
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232099385605
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232099385850
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232099387719
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232099389754
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1232099391373
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1232099391373
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1232099391374
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1232099391375
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1232099391375
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1232099391378
stopped,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1232099391378
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.bugzilla.ui,1232099391378
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.ide.ui,1232099391386
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.team.ui,1232099391386
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.resources.ui,1232099391412
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.context.ui,1232099391412
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.help.ui,1232099391445
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.tasks.bugs,1232099391464
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.tasks.ui,1232099391464
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1232099391483
