what,kind,bundleId,bundleVersion,description,time
executed,command,,,AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction,1231869261907
executed,command,,,AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.ManageBreakpointRulerAction,1231869262745
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869266014
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869279539
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869282641
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869289112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869291301
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869292796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869295138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869342951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869347538
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.properties,1231869349873
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869350151
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869363964
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869370054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869375140
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1231869375958
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1231869376101
executed,command,,,org.eclipse.cdt.debug.ui.localCShortcut.debug,1231869376142
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869376584
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231869394076
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1231869395477
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1231869397690
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1231869398052
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1231869400745
