what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766567465
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766574192
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766575859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766589345
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766639028
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766641030
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1231766652561
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766661163
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766665393
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildProject,1231766667607
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766670108
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766676522
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766684470
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766686212
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766689275
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766696908
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766703833
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766706364
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766707892
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231766709251
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231766788425
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766789969
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProgressView,1231766855586
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProgressView,1231766855933
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1231766861569
